cod_cliente,nome_completo,email,tipo_cliente,data_inclusao,cpfcnpj,endereco,cep,uf,tempo_como_cliente,idade
19,Juan Barros,oazevedo@example.net,Pessoa Física,2019-10-05 13:24:00,250.861.493-98,"Lago de Moraes, 17 Vila Calafate 97747-354 Barbosa / AL",50402163,Alagoas,67.83333333333333,
286,Arthur Barros,aragaodiogo@example.org,Pessoa Física,2021-07-12 12:27:00,042.981.536-06,"Quadra Luiz Felipe Silva, 66 Providencia 39170341 Monteiro do Galho / MG",95198-890,Minas Gerais,46.3,
359,Renan Barros,calves@example.org,Pessoa Física,2019-01-15 11:27:00,145.028.679-85,"Rua Gabrielly Teixeira, 5 Vila Mantiqueira 57819735 Peixoto / SC",41597-578,Santa Catarina,76.6,66.0
363,Maria Luiza Barros,mariana09@example.com,Pessoa Física,2022-05-03 11:19:00,973.526.840-00,Loteamento da Rocha Barão Homem De Melo 1ª Seção 67010422 Cardoso do Campo / MT,11833-620,Mato Grosso,36.46666666666667,33.0
410,Mirella Barros,andre65@example.net,Pessoa Física,2019-04-22 13:24:00,312.054.796-43,"Chácara Sales, 37 Olaria 01703-287 Duarte de Nunes / SE",86348520,Sergipe,73.36666666666666,45.0
576,Arthur Barros,ana-carolina66@example.net,Pessoa Física,2015-12-26 13:07:00,371.604.985-93,Núcleo de Gonçalves Vila Suzana Segunda Seção 99295-632 Correia Paulista / MS,53833679,Mato Grosso do Sul,113.8,
584,Nina Barros,ana-julia39@example.net,Pessoa Física,2014-11-07 11:59:00,928.647.153-09,"Passarela Nina Nunes, 578 Jardim Atlântico 09085-697 Costa / GO",53337997,Goiás,127.6,79.0
595,Ana Sophia Barros,da-matamarcela@example.com,Pessoa Física,2016-10-11 15:15:00,796.521.408-30,"Vale Barbosa, 4 Madre Gertrudes 10531-758 Cunha / RR",72402214,Roraima,104.13333333333334,76.0
624,Maria Vitória Barros,pedro41@example.org,Pessoa Física,2015-08-03 16:55:00,140.863.572-08,"Núcleo Pires, 93 Nossa Senhora Do Rosário 62644406 Caldeira / MG",66313047,Minas Gerais,118.63333333333334,62.0
657,Guilherme Barros,costelacaua@example.org,Pessoa Física,2020-03-06 13:40:00,340.178.269-03,"Quadra da Paz, 49 Novo Das Industrias 20437973 Almeida / SP",54404420,São Paulo,62.733333333333334,
678,Caio Barros,caua25@example.net,Pessoa Física,2016-06-06 12:17:00,589.167.243-09,"Área de da Rosa, 7 Floramar 45453-267 Moreira / AP",46910487,Amapá,108.36666666666666,
704,Davi Barros,maria-juliacarvalho@example.com,Pessoa Física,2021-10-11 14:10:00,924.068.531-60,"Loteamento da Costa, 10 Jonas Veiga 66521-003 Ribeiro de Ramos / CE",01888-571,Ceará,43.266666666666666,
779,Ana Clara Barros,ssilva@example.org,Pessoa Física,2014-04-15 11:46:00,591.846.203-15,"Trecho de Pereira, 3 Novo Tupi 95361484 Melo Grande / AP",95294945,Amapá,134.46666666666667,
794,Isis Barros,brunonunes@example.com,Pessoa Física,2019-11-14 11:15:00,517.689.342-82,"Viela da Luz, 664 Vila São Rafael 24907824 Nogueira / PE",26042844,Pernambuco,66.5,62.0
45,Bianca Campos,leonardocorreia@example.org,Pessoa Física,2015-10-19 14:51:00,783.250.419-60,"Pátio de Viana, 30 São Gonçalo 46881-197 da Rocha / PA",41039-098,Pará,116.06666666666666,76.0
75,Davi Lucas Campos,da-pazeduardo@example.com,Pessoa Física,2011-06-12 13:50:00,197.534.820-60,"Rodovia Francisco Cardoso, 408 Cabana Do Pai Tomás 58589-864 Carvalho / BA",54585-000,Bahia,169.06666666666666,
135,Calebe Campos,yda-mata@example.com,Pessoa Física,2016-07-03 12:30:00,482.190.675-94,Morro de Melo Novo Glória 31679-981 Jesus de Araújo / MT,18419-509,Mato Grosso,107.46666666666667,
230,Kamilly Campos,renanferreira@example.org,Pessoa Física,2020-12-22 16:37:00,768.241.309-31,"Morro Martins, 71 Renascença 86342232 Dias / MA",08164-995,Maranhão,53.03333333333333,
274,Júlia Campos,sophia62@example.org,Pessoa Física,2018-08-16 12:55:00,563.072.984-56,"Alameda Moraes, 49 Leticia 42294034 Gomes / TO",19166-875,Tocantins,81.66666666666667,19.0
524,Pietra Campos,camposmelissa@example.net,Pessoa Física,2019-11-02 11:32:00,847.102.593-05,Condomínio Rafael Carvalho Vila Independencia 2ª Seção 59366911 Caldeira / CE,64726243,Ceará,66.9,41.0
588,Maria Vitória Campos,alicevieira@example.com,Pessoa Física,2019-09-07 15:19:00,103.894.675-10,"Núcleo de Campos, 46 Vila São Dimas 87547446 da Mota do Amparo / AP",77606835,Amapá,68.76666666666667,
635,Vitor Campos,ccostela@example.net,Pessoa Física,2022-09-12 15:38:00,293.106.475-07,Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,66905558,Pará,32.06666666666667,
641,Thiago Campos,calebegoncalves@example.org,Pessoa Física,2019-12-07 13:32:00,128.506.739-86,Favela Lorenzo Rodrigues Bom Jesus 99335361 da Costa de Jesus / TO,51064-127,Tocantins,65.73333333333333,
880,Benjamin Campos,kbarbosa@example.net,Pessoa Física,2017-06-06 14:49:00,568.249.701-58,"Avenida Carolina Costa, 740 Vila Puc 00510-876 Rezende dos Dourados / MG",6819237,Minas Gerais,96.2,
902,João Miguel Campos,luna56@example.com,Pessoa Física,2018-03-17 15:41:00,534.018.962-70,"Largo de Silva, 1 Vila Da Amizade 11206-205 Pires / AM",64098823,Amazonas,86.73333333333333,
37,Alice Castro,gustavoalmeida@example.net,Pessoa Física,2022-07-03 16:07:00,813.456.097-01,"Aeroporto Correia, 67 Campo Alegre 59473-288 Silva / CE",28693764,Ceará,34.43333333333333,
39,Thiago Castro,marcelacaldeira@example.net,Pessoa Física,2022-04-25 15:35:00,983.067.425-83,"Loteamento Diogo Almeida, 83 Aparecida 43075-851 Lima / RJ",35623-437,Rio de Janeiro,36.733333333333334,19.0
105,Letícia Castro,theofernandes@example.com,Pessoa Física,2018-11-27 15:02:00,726.380.541-35,"Chácara Vinicius Moura, 35 Nova Cintra 32979693 Moreira / BA",76910649,Bahia,78.23333333333333,
185,João Guilherme Castro,theosilveira@example.org,Pessoa Física,2011-03-23 14:06:00,583.412.067-90,"Parque Letícia Nunes, 65 Vila Calafate 27185265 Pires / PA",57735990,Pará,171.76666666666668,78.0
219,Anthony Castro,natalia39@example.net,Pessoa Física,2022-02-17 10:52:00,369.570.184-66,"Travessa Ramos, 76 Funcionários 81165476 Monteiro das Flores / PR",30145-805,Paraná,38.96666666666667,
290,Pietro Castro,luna07@example.com,Pessoa Física,2016-02-19 12:30:00,824.503.697-83,Vila de da Paz Conjunto Serra Verde 96440703 Rezende de Araújo / AP,85964298,Amapá,111.96666666666667,43.0
621,Júlia Castro,gomeslucas@example.com,Pessoa Física,2015-03-11 11:29:00,785.269.430-65,"Aeroporto Gabriela Araújo, 521 Horto Florestal 94393029 Peixoto / AM",75465498,Amazonas,123.46666666666667,54.0
763,Luiz Henrique Castro,dlopes@example.com,Pessoa Física,2016-10-19 14:58:00,094.816.725-49,"Lagoa de Gonçalves, 4 Bairro Das Indústrias Ii 48251962 Duarte / PA",55834-279,Pará,103.86666666666666,78.0
148,Fernando Duarte,samuelmendes@example.net,Pessoa Física,2016-02-22 11:31:00,390.641.857-00,"Praia Viana, 44 Capitão Eduardo 69451-123 Teixeira de da Mata / AL",28720-323,Alagoas,111.86666666666666,56.0
205,Ana Carolina Duarte,dteixeira@example.net,Pessoa Física,2016-01-15 11:42:00,164.780.395-01,Praça Costa Manacas 12548-182 Oliveira da Serra / RR,5433470,Roraima,113.13333333333334,
288,Emanuel Duarte,lorena85@example.com,Pessoa Física,2018-10-08 10:40:00,965.748.021-30,"Residencial Cunha, 31 Ipiranga 14800-710 Viana do Norte / SE",88407-318,Sergipe,79.9,
294,Lorenzo Duarte,mariada-mota@example.net,Pessoa Física,2021-05-13 11:44:00,806.954.321-33,"Morro de Lopes, 49 São Sebastião 11028-858 Pinto de Rezende / RR",14947282,Roraima,48.3,67.0
360,Juliana Duarte,pintoluiz-miguel@example.com,Pessoa Física,2021-08-15 11:39:00,643.702.859-92,"Pátio de Lopes, 81 Santa Isabel 70488-300 da Cruz da Mata / SC",82878539,Santa Catarina,45.166666666666664,38.0
395,Marcela Duarte,eda-conceicao@example.com,Pessoa Física,2022-12-01 15:27:00,912.308.647-50,"Campo Monteiro, 57 Floresta 48388-235 da Rosa / TO",18074779,Tocantins,29.4,
475,Mariana Duarte,fogacaleandro@example.org,Pessoa Física,2020-05-04 13:45:00,723.549.860-92,"Quadra Ana Carolina da Cunha, 95 Santana Do Cafezal 19991-246 Ferreira / PB",51519-852,Paraíba,60.766666666666666,68.0
487,Catarina Duarte,xcastro@example.com,Pessoa Física,2019-07-08 15:16:00,160.372.854-62,"Estrada de Azevedo, 127 Pedreira Padro Lopes 71412295 Silveira de Ribeiro / RN",77823-250,Rio Grande do Norte,70.8,
495,Emanuelly Duarte,fbarbosa@example.org,Pessoa Física,2015-07-02 11:07:00,036.928.541-70,"Jardim de Alves, 64 Parque São José 56848686 Fernandes da Mata / BA",5554873,Bahia,119.7,63.0
537,Valentina Duarte,laurada-rosa@example.net,Pessoa Física,2020-02-02 16:09:00,495.786.031-93,"Aeroporto de das Neves, 29 Piraja 37700621 Castro de Cunha / BA",97397-921,Bahia,63.833333333333336,
548,Lavínia Duarte,pcastro@example.net,Pessoa Física,2021-05-24 12:19:00,713.602.495-16,Parque de Jesus São Luiz 10227-287 Freitas das Flores / ES,37638910,Espírito Santo,47.93333333333333,
564,Miguel Duarte,ifreitas@example.com,Pessoa Física,2015-05-20 11:34:00,947.613.058-00,"Esplanada de da Paz, 6 Monte São José 27113-651 Freitas / RS",36964637,Rio Grande do Sul,121.13333333333334,
586,Vinicius Duarte,kamilly03@example.org,Pessoa Física,2021-04-18 11:35:00,539.820.641-98,"Vereda Maria Vitória Cardoso, 68 São João 17109354 Almeida / PB",98536400,Paraíba,49.13333333333333,
619,Julia Duarte,vitor19@example.org,Pessoa Física,2020-04-02 14:43:00,962.378.405-83,"Chácara Brenda Caldeira, 98 Tirol 94227264 Novaes / AM",47471-169,Amazonas,61.833333333333336,60.0
732,Melissa Duarte,davi77@example.net,Pessoa Física,2018-07-26 14:07:00,860.519.243-70,"Favela de da Paz, 52 Vila Aeroporto Jaraguá 40100034 Vieira / MA",38555902,Maranhão,82.36666666666666,
842,Maria Julia Duarte,marianenascimento@example.com,Pessoa Física,2020-10-02 10:21:00,670.125.834-44,"Rua Bianca da Conceição, 59 Conjunto Paulo Vi 14021619 Silveira do Galho / PE",13536663,Pernambuco,55.733333333333334,
893,Lucca Duarte,nicolelopes@example.net,Pessoa Física,2022-07-19 13:30:00,176.043.259-80,"Lagoa Beatriz Correia, 93 Madre Gertrudes 06474810 Costa / ES",4783273,Espírito Santo,33.9,
916,Lívia Duarte,psilveira@example.org,Pessoa Física,2020-01-17 11:30:00,039.285.671-95,"Distrito Nicole Alves, 28 Satelite 94123-751 da Mota / CE",46057-007,Ceará,64.36666666666666,37.0
935,Ana Sophia Duarte,rodrigonunes@example.net,Pessoa Física,2018-03-22 15:23:00,459.360.281-51,"Loteamento de Silva, 66 Marmiteiros 19982817 Freitas / PE",25315-391,Pernambuco,86.56666666666666,
974,Maria Julia Duarte,vianamarina@example.org,Pessoa Física,2014-07-18 15:15:00,908.352.461-24,"Parque Gomes, 90 Mirtes 13551-776 da Rocha / RJ",23947-364,Rio de Janeiro,131.33333333333334,26.0
992,Larissa Duarte,pietroda-rocha@example.com,Pessoa Física,2020-02-13 12:01:00,453.702.916-16,Estação Monteiro Nossa Senhora Da Aparecida 84445381 da Paz do Sul / MG,53041258,Minas Gerais,63.46666666666667,43.0
550,Ana Clara Farias,isilva@example.com,Pessoa Física,2017-06-25 15:12:00,159.704.632-99,"Travessa de Moreira, 579 Monte Azul 04729432 da Luz da Serra / AM",35253-970,Amazonas,95.56666666666666,43.0
553,Lavínia Farias,marcos-vinicius92@example.org,Pessoa Física,2017-10-25 12:12:00,019.538.276-59,"Jardim Melo, 90 Conjunto Taquaril 87215453 Alves de Porto / AM",73186-842,Amazonas,91.5,
640,Davi Lucas Farias,tmendes@example.org,Pessoa Física,2020-06-11 14:58:00,973.184.620-40,"Lagoa Duarte, 3 Granja De Freitas 99584-579 Lopes das Pedras / AM",54416006,Amazonas,59.5,
819,Valentina Farias,samuel91@example.com,Pessoa Física,2022-08-02 11:24:00,263.810.974-69,"Jardim Kevin Nogueira, 529 Capitão Eduardo 02187736 da Luz / RS",36872-995,Rio Grande do Sul,33.43333333333333,
870,Arthur Farias,dteixeira@example.net,Pessoa Física,2017-12-20 11:12:00,671.590.238-03,"Praia de Pires, 90 Vale Do Jatoba 32283688 Azevedo / GO",43431-930,Goiás,89.63333333333334,27.0
978,Breno Farias,lopesvitor-hugo@example.com,Pessoa Física,2022-03-07 14:38:00,269.357.041-70,"Setor Gustavo Henrique Dias, 89 Jardim Montanhês 59366-662 Aragão / SP",72750-274,São Paulo,38.36666666666667,76.0
33,Vitor Gabriel Mendes,gabrielada-conceicao@example.org,Pessoa Física,2016-11-10 13:52:00,235.087.649-74,"Feira Moraes, 72 Piraja 92690-290 da Luz Grande / AC",58000199,Acre,103.13333333333334,
101,Enrico Mendes,da-costavitor@example.com,Pessoa Física,2018-11-05 14:17:00,543.918.762-64,Estação de Vieira Barão Homem De Melo 1ª Seção 55506-524 Barbosa de Viana / PE,54951-507,Pernambuco,78.96666666666667,50.0
103,Isis Mendes,raul30@example.net,Pessoa Física,2018-05-25 13:51:00,370.592.846-56,"Alameda Teixeira, 42 Sport Club 87627-420 Gonçalves Alegre / RS",36001-295,Rio Grande do Sul,84.43333333333334,
213,Gabriela Mendes,vcardoso@example.net,Pessoa Física,2019-08-18 11:33:00,712.960.358-59,"Rodovia Otávio Caldeira, 348 Primeiro De Maio 60349419 da Cruz de Freitas / AP",02265-501,Amapá,69.43333333333334,34.0
295,Kamilly Mendes,gabrielly68@example.com,Pessoa Física,2017-07-13 13:27:00,789.613.420-96,"Vereda de Aragão, 33 Goiania 85239-665 Silva / PA",35498603,Pará,94.96666666666667,54.0
323,Rafael Mendes,marcos-viniciusmonteiro@example.org,Pessoa Física,2015-06-14 16:51:00,687.341.059-48,"Feira de Pereira, 956 Itapoa 15282013 Viana / RR",78151-537,Roraima,120.3,
335,Daniel Mendes,freitasjoana@example.org,Pessoa Física,2022-01-02 11:09:00,103.986.527-59,Colônia de Peixoto Carlos Prates 71637-087 Jesus dos Dourados / PE,95977393,Pernambuco,40.5,
476,Thiago Mendes,enogueira@example.org,Pessoa Física,2018-05-26 15:11:00,387.045.196-39,Fazenda Yuri Ramos Nova Suíça 18318-047 Almeida da Mata / MA,43688-770,Maranhão,84.4,
633,Caio Mendes,diegocavalcanti@example.net,Pessoa Física,2011-05-08 13:51:00,032.479.165-80,"Passarela Benício da Rocha, 7 Santa Inês 34620470 da Mata dos Dourados / PA",8093154,Pará,170.23333333333332,
650,Brenda Mendes,bmonteiro@example.org,Pessoa Física,2022-07-12 13:16:00,964.357.208-00,"Feira Carvalho, 9 Sport Club 55050-039 Araújo Verde / MA",81446657,Maranhão,34.13333333333333,
36,Enzo Gabriel Moraes,beniciopinto@example.net,Pessoa Física,2012-02-17 15:58:00,718.634.902-13,"Rua Cunha, 55 Vila Nova Dos Milionarios 16425-858 Nascimento / SC",36567-846,Santa Catarina,160.73333333333332,69.0
40,Marcela Moraes,vitor92@example.org,Pessoa Física,2015-04-14 14:50:00,587.192.463-82,"Lago de Cavalcanti, 24 Parque São José 53257316 Rezende do Galho / PB",68473580,Paraíba,122.33333333333333,59.0
228,Juan Moraes,tcostela@example.net,Pessoa Física,2022-03-04 13:41:00,456.932.780-00,"Quadra de Peixoto, 22 Vila Puc 62498734 da Rocha de Goiás / PE",30944-978,Pernambuco,38.46666666666667,55.0
322,Enrico Moraes,esthercaldeira@example.com,Pessoa Física,2014-06-27 15:40:00,523.904.786-38,"Travessa de Fogaça, 90 Pousada Santo Antonio 09628-610 Cardoso / RO",29854724,Rondônia,132.03333333333333,
412,Enzo Moraes,marcelasales@example.net,Pessoa Física,2020-12-01 14:13:00,193.520.874-88,Área de da Rosa Santa Cruz 83177213 Gonçalves de Mendes / RR,19613-119,Roraima,53.733333333333334,51.0
414,Sarah Moraes,bianca37@example.org,Pessoa Física,2017-04-10 14:29:00,854.176.290-49,"Campo Alícia Moura, 41 Barão Homem De Melo 3ª Seção 90575391 Pereira do Sul / PB",79765622,Paraíba,98.1,17.0
554,Emanuel Moraes,santosenzo-gabriel@example.org,Pessoa Física,2022-06-02 15:03:00,578.613.240-44,"Via da Paz, 9 Vila Da Ária 01280-233 Moura Alegre / AL",59958-346,Alagoas,35.46666666666667,82.0
683,Luiz Otávio Moraes,araujoana@example.com,Pessoa Física,2022-03-06 13:25:00,497.250.316-52,Alameda de Pinto Paraíso 02797266 Sales Grande / AP,24508-434,Amapá,38.4,62.0
708,Eduardo Moraes,haraujo@example.net,Pessoa Física,2020-07-19 11:21:00,653.879.041-01,"Favela Daniela Pereira, 320 Providencia 84467054 Sales do Norte / AM",16577479,Amazonas,58.233333333333334,34.0
738,João Vitor Moraes,laisdas-neves@example.net,Pessoa Física,2018-12-19 16:10:00,810.927.654-76,Jardim Pietro GonÃ§alves Vila Real 1Âª SeÃ§ão 87016-537 Cunha de Rocha / PB,10322-871,Paraíba,77.5,
778,Igor Moraes,pietrosouza@example.net,Pessoa Física,2018-12-21 14:46:00,471.206.598-20,"Vereda Vieira, 72 Carmo 07354490 Nascimento Paulista / RR",86050-358,Roraima,77.43333333333334,42.0
800,Fernanda Moraes,pietro80@example.com,Pessoa Física,2015-02-25 15:05:00,730.695.284-65,"Conjunto Maria Sophia Porto, 92 Conjunto Santa Maria 76612-828 Ribeiro / RO",79107382,Rondônia,123.93333333333334,32.0
846,Júlia Moraes,correiabryan@example.net,Pessoa Física,2013-10-12 10:33:00,583.964.721-73,"Esplanada de Araújo, 89 Beira Linha 68431861 Campos / AL",8907828,Alagoas,140.63333333333333,
877,Emanuella Moraes,laura76@example.org,Pessoa Física,2013-02-11 11:31:00,149.572.036-52,"Distrito Duarte, 27 Vila Betânia 12196-782 Barbosa de Nunes / AM",48120724,Amazonas,148.73333333333332,
912,Bruna Moraes,carolinepeixoto@example.net,Pessoa Física,2020-07-16 12:22:00,043.586.179-48,"Praia Heitor Martins, 550 Vila Atila De Paiva 54339-769 da Mata / PA",02217-338,Pará,58.333333333333336,
918,Julia Moraes,laisnogueira@example.com,Pessoa Física,2020-05-16 11:58:00,518.302.649-15,Setor Fogaça Mirante 97926-776 da Paz do Galho / MS,27479-650,Mato Grosso do Sul,60.36666666666667,
938,Isabel Moraes,ana-luizacampos@example.com,Pessoa Física,2016-12-12 12:27:00,542.783.619-55,Fazenda João Lucas Lima Nossa Senhora Aparecida 67019105 das Neves do Oeste / SC,26391863,Santa Catarina,102.06666666666666,27.0
983,Manuela Moraes,ogomes@example.net,Pessoa Física,2019-04-15 12:52:00,415.369.827-09,"Estrada Emanuella Rodrigues, 71 Vila Antena Montanhês 80401-864 Duarte / PR",18035963,Paraná,73.6,
20,Lara Novaes,ana-vitoriada-mota@example.com,Pessoa Física,2021-05-20 15:06:00,195.243.680-05,"Chácara Kaique Souza, 43 Granja De Freitas 48647-530 Vieira de Minas / AC",77067-771,Acre,48.06666666666667,
29,João Novaes,xpinto@example.net,Pessoa Física,2015-07-27 11:08:00,607.241.958-58,"Ãrea Cardoso, 155 Beténia 18705056 Freitas / PA",92648022,Pará,118.86666666666666,
51,Pietra Novaes,afreitas@example.com,Pessoa Física,2022-01-18 14:52:00,641.978.520-02,"Rodovia Campos, 83 Vila Nova Cachoeirinha 1ª Seção 98409255 Jesus do Galho / RS",20739-657,Rio Grande do Sul,39.96666666666667,24.0
120,Lucas Gabriel Novaes,opereira@example.org,Pessoa Física,2021-11-18 10:05:00,948.507.132-97,"Vila de Monteiro, 8 Marieta 2ª Seção 99015734 Castro do Sul / AP",37378-687,Amapá,42.0,
168,Bárbara Novaes,lucas-gabrielnovaes@example.org,Pessoa Física,2012-12-20 16:11:00,709.186.435-20,"Passarela de Novaes, 10 Boa União 2Âª SeÃ§ão 79113654 Santos / RJ",88515-404,Rio de Janeiro,150.5,
520,André Novaes,da-motahenrique@example.net,Pessoa Física,2019-11-03 16:26:00,954.261.073-43,"Colônia de Dias, 249 Coqueiros 75446-716 da Luz de Correia / RJ",04127-343,Rio de Janeiro,66.86666666666666,25.0
543,Ana Júlia Novaes,antonio35@example.net,Pessoa Física,2017-07-05 15:58:00,024.719.658-49,"Viaduto Barbosa, 58 Etelvina Carneiro 15413-609 Fernandes / TO",95011-680,Tocantins,95.23333333333333,21.0
598,Davi Luiz Novaes,andregomes@example.com,Pessoa Física,2015-02-09 13:15:00,012.473.695-52,"Colônia Ana Novaes, 97 Prado 92364159 Lima / MS",84829001,Mato Grosso do Sul,124.46666666666667,26.0
648,Renan Novaes,fariasjuan@example.org,Pessoa Física,2021-07-28 15:32:00,048.261.935-05,"Loteamento Cunha, 14 Serrano 79284-464 Teixeira da Prata / MA",81822-316,Maranhão,45.766666666666666,36.0
744,Clarice Novaes,gustavo55@example.org,Pessoa Física,2012-03-21 11:46:00,327.805.914-04,"Pátio de da Costa, 78 Túnel De Ibirité 91951-698 Barbosa / PE",65986-747,Pernambuco,159.63333333333333,
762,Sabrina Novaes,ferreirarenan@example.org,Pessoa Física,2022-09-15 14:36:00,862.174.053-26,"Parque Pires, 66 Solar Do Barreiro 16251606 Martins da Mata / DF",73222953,Distrito Federal,31.966666666666665,57.0
844,Ana Laura Novaes,maite19@example.org,Pessoa Física,2022-09-19 12:48:00,932.516.784-00,"Setor de Costa, 810 Colégio Batista 39328445 Oliveira de Minas / ES",44399366,Espírito Santo,31.833333333333332,
981,Kamilly Novaes,elisa65@example.net,Pessoa Física,2021-09-13 14:38:00,784.526.130-08,"Travessa Porto, 1 Ouro Preto 93007811 Viana do Campo / RO",02101-190,Rondônia,44.2,
13,Sophie Santos,tsantos@example.org,Pessoa Física,2022-12-16 11:20:00,691.038.475-00,"Praça Maria Luiza Peixoto, 8 Sion 41511-505 da Luz do Sul / TO",51923031,Tocantins,28.9,32.0
60,Luiz Fernando Santos,maria-sophia76@example.com,Pessoa Física,2017-11-28 14:52:00,601.827.534-17,"Núcleo Leonardo Carvalho, 2 Santa Sofia 98591930 Castro / TO",19629-983,Tocantins,90.36666666666666,
151,Maité Santos,mcardoso@example.net,Pessoa Física,2018-03-09 15:53:00,765.410.892-30,"Via Peixoto, 382 Vila Formosa 31903911 da Mota / ES",35686159,Espírito Santo,87.0,
188,Bárbara Santos,benjaminmoreira@example.org,Pessoa Física,2022-11-12 14:02:00,496.325.108-60,"Sítio de Sales, 90 Pongelupe 09139183 Pereira / RJ",23499-744,Rio de Janeiro,30.033333333333335,73.0
204,Murilo Santos,augustopeixoto@example.org,Pessoa Física,2021-02-23 16:46:00,831.250.967-40,"Aeroporto Fogaça, 85 Flavio Marques Lisboa 45322737 da Costa / MT",02417-883,Mato Grosso,50.93333333333333,22.0
237,Diogo Santos,cecilia66@example.com,Pessoa Física,2021-07-28 11:45:00,630.819.245-70,"Vale de Cunha, 28 Coração Eucarístico 57431782 da Cruz / SE",50773-129,Sergipe,45.766666666666666,
276,Ryan Santos,julianafarias@example.com,Pessoa Física,2021-02-03 11:25:00,861.397.542-91,Estação de Oliveira Gutierrez 96932657 da Cunha / PR,15309-406,Paraná,51.6,
341,Maria Vitória Santos,rezendejoao-gabriel@example.com,Pessoa Física,2016-04-12 12:25:00,382.709.456-92,"Esplanada da Cunha, 93 Vila Atila De Paiva 68152259 Peixoto da Praia / AC",73042220,Acre,110.2,
406,Emanuella Santos,felipe23@example.com,Pessoa Física,2017-08-25 13:16:00,961.807.423-40,"Sítio de Rezende, 8 Anchieta 43074-122 Cardoso / PR",44099-630,Paraná,93.53333333333333,
436,Amanda Santos,ana-juliamendes@example.com,Pessoa Física,2019-12-10 12:32:00,071.684.293-96,"Conjunto Pedro Miguel das Neves, 44 Boa Esperança 05815884 Pereira / RJ",17775-526,Rio de Janeiro,65.63333333333334,53.0
462,Paulo Santos,emanuellaalves@example.com,Pessoa Física,2016-11-19 13:53:00,452.986.130-98,"Colônia Vitória Jesus, 77 Castelo 11731280 Cardoso Verde / AM",72543224,Amazonas,102.83333333333333,
502,Bruna Santos,oalves@example.org,Pessoa Física,2021-12-19 15:05:00,506.798.431-75,"Trecho Pereira, 2 São Cristóvão 02107640 Barros / SP",81864640,São Paulo,40.96666666666667,
651,Maria Santos,fernandesclarice@example.org,Pessoa Física,2016-07-14 12:22:00,781.952.634-37,"Condomínio Maria Julia Santos, 808 Jardinópolis 75099253 Peixoto de Minas / CE",55688182,Ceará,107.1,34.0
750,Vitória Santos,pintojoao@example.net,Pessoa Física,2012-05-05 11:32:00,865.014.973-10,"Vila de da Cunha, 34 Anchieta 28167329 Silva da Praia / PA",37929375,Pará,158.13333333333333,66.0
754,João Vitor Santos,calebecampos@example.net,Pessoa Física,2022-12-15 14:27:00,458.716.320-17,"Loteamento Nunes, 1 Madre Gertrudes 69306319 Aragão Alegre / GO",33631-389,Goiás,28.933333333333334,56.0
810,Erick Santos,costelajoao-guilherme@example.org,Pessoa Física,2017-07-07 15:17:00,620.154.938-24,Residencial Barros Pousada Santo Antonio 00818-311 Mendes de Barros / RO,55910-812,Rondônia,95.16666666666667,35.0
920,Clara Santos,ian88@example.net,Pessoa Física,2021-01-22 13:48:00,608.943.715-84,"Sítio Ana Júlia Novaes, 7 Jardim São José 85362-106 Moreira Paulista / SC",76057165,Santa Catarina,52.0,
943,Lucas Gabriel Santos,ana-clara77@example.org,Pessoa Física,2017-09-07 15:09:00,375.698.102-95,"Rodovia de Cavalcanti, 2 Santa Maria 85253-940 da Mota / ES",37436528,Espírito Santo,93.1,82.0
970,Davi Luiz Santos,pedro-miguel99@example.org,Pessoa Física,2021-01-07 15:42:00,129.680.347-31,"Quadra de Barbosa, 38 Castanheira 15014-395 Fernandes das Flores / AL",02065-237,Alagoas,52.5,60.0
84,Lucas Vieira,maria-alice75@example.net,Pessoa Física,2021-05-18 13:34:00,784.620.139-50,"Estação Enzo Gabriel Barros, 98 Serra Do Curral 65953-572 Rocha / SE",1802105,Sergipe,48.13333333333333,
192,Carolina Vieira,cauadas-neves@example.com,Pessoa Física,2015-09-27 11:21:00,209.316.875-86,"Praia de Duarte, 51 Vila Paquetá 76244-940 das Neves / ES",01651-705,Espírito Santo,116.8,
229,Nicolas Vieira,wpeixoto@example.org,Pessoa Física,2013-01-20 11:26:00,251.807.934-32,Pátio de Alves Vila Ouro Minas 17435-767 Fernandes / MS,75949393,Mato Grosso do Sul,149.46666666666667,
236,Vitória Vieira,ucavalcanti@example.com,Pessoa Física,2020-02-25 11:42:00,438.610.279-50,Lagoa Novaes Vila Nova Cachoeirinha 3Âª SeÃ§ão 63702849 Fernandes / ES,85701095,Espírito Santo,63.06666666666667,
343,Luiz Gustavo Vieira,danielada-cruz@example.org,Pessoa Física,2021-09-20 12:12:00,398.712.650-77,"Campo de Silva, 14 Confisco 47012-193 Azevedo / AL",3071741,Alagoas,43.96666666666667,
407,Eduardo Vieira,vitor-gabrielduarte@example.org,Pessoa Física,2019-05-18 13:18:00,198.203.467-03,"Passarela Marcelo Silva, 1 Esperança 85057312 Ribeiro / DF",11102-836,Distrito Federal,72.5,
461,Luiz Felipe Vieira,evelyn92@example.com,Pessoa Física,2021-03-12 15:04:00,415.639.078-01,"Passarela de Barbosa, 552 Novo Santa Cecilia 24845-782 Fernandes do Campo / DF",26853-378,Distrito Federal,50.36666666666667,
